id,doc_id,type,context,stanford_sentence_id,stanford_token_start,stanford_token_end
CNNHL_ENG_20030415_193729.5-E19-24,CNNHL_ENG_20030415_193729.5,GPE,iraq,1,18,18
CNNHL_ENG_20030415_193729.5-E21-26,CNNHL_ENG_20030415_193729.5,ORG,cnn,2,4,4
CNNHL_ENG_20030415_193729.5-E22-3,CNNHL_ENG_20030415_193729.5,PER,his,4,9,9
CNNHL_ENG_20030415_193729.5-E22-11,CNNHL_ENG_20030415_193729.5,PER,abbas,5,1,1
CNNHL_ENG_20030415_193729.5-E22-18,CNNHL_ENG_20030415_193729.5,PER,"a palestinian terrorist leader",1,4,4
CNNHL_ENG_20030415_193729.5-E22-27,CNNHL_ENG_20030415_193729.5,PER,"mohammed
""abu"" abbas",2,5,9
CNNHL_ENG_20030415_193729.5-E22-30,CNNHL_ENG_20030415_193729.5,PER,he,3,4,4
CNNHL_ENG_20030415_193729.5-E23-28,CNNHL_ENG_20030415_193729.5,GPE,baghdad,2,17,17
CNNHL_ENG_20030415_193729.5-E25-31,CNNHL_ENG_20030415_193729.5,GPE,syria,3,10,10
CNNHL_ENG_20030415_193729.5-T3-1,CNNHL_ENG_20030415_193729.5,Time,"october of 1985",4,2,4
CNNHL_ENG_20030415_193729.5-V1-1,CNNHL_ENG_20030415_193729.5,Sentence,"five life terms in
prison",5,13,17
BACONSREBELLION_20050125.1108-E1-8,BACONSREBELLION_20050125.1108,PER,WERKHEISER,12,3,3
BACONSREBELLION_20050125.1108-E1-11,BACONSREBELLION_20050125.1108,PER,"Greg Werkheiser",12,11,12
BACONSREBELLION_20050125.1108-E1-13,BACONSREBELLION_20050125.1108,PER,"candidate for the House of Delegates from the 42nd
District in southern Fairfax County",12,14,14
BACONSREBELLION_20050125.1108-E1-16,BACONSREBELLION_20050125.1108,PER,his,12,37,37
BACONSREBELLION_20050125.1108-E1-24,BACONSREBELLION_20050125.1108,PER,Werkheiser,13,1,1
BACONSREBELLION_20050125.1108-E1-25,BACONSREBELLION_20050125.1108,PER,his,13,4,4
BACONSREBELLION_20050125.1108-E1-27,BACONSREBELLION_20050125.1108,PER,Werkheiser,13,12,12
BACONSREBELLION_20050125.1108-E1-29,BACONSREBELLION_20050125.1108,PER,Werkheiser,14,1,1
BACONSREBELLION_20050125.1108-E1-30,BACONSREBELLION_20050125.1108,PER,his,14,12,12
BACONSREBELLION_20050125.1108-E1-31,BACONSREBELLION_20050125.1108,PER,Werkheiser,14,15,15
BACONSREBELLION_20050125.1108-E1-34,BACONSREBELLION_20050125.1108,PER,Werkheiser,14,22,22
BACONSREBELLION_20050125.1108-E1-38,BACONSREBELLION_20050125.1108,PER,Werkheiser,15,1,1
BACONSREBELLION_20050125.1108-E1-49,BACONSREBELLION_20050125.1108,PER,I,18,2,2
BACONSREBELLION_20050125.1108-E1-50,BACONSREBELLION_20050125.1108,PER,I,19,12,12
BACONSREBELLION_20050125.1108-E1-51,BACONSREBELLION_20050125.1108,PER,I,19,19,19
BACONSREBELLION_20050125.1108-E1-52,BACONSREBELLION_20050125.1108,PER,my,19,26,26
BACONSREBELLION_20050125.1108-E1-53,BACONSREBELLION_20050125.1108,PER,Werkheiser,19,51,51
BACONSREBELLION_20050125.1108-E1-54,BACONSREBELLION_20050125.1108,PER,"Greg Werkheiser",20,5,6
BACONSREBELLION_20050125.1108-E1-66,BACONSREBELLION_20050125.1108,PER,WERKHEISER,20,23,23
BACONSREBELLION_20050125.1108-E1-83,BACONSREBELLION_20050125.1108,PER,Werkheiser,11,20,20
BACONSREBELLION_20050125.1108-E2-3,BACONSREBELLION_20050125.1108,PER,"his father-in-law",7,7,9
BACONSREBELLION_20050125.1108-E3-5,BACONSREBELLION_20050125.1108,ORG,"the Werkheiser campaign in NOVA",11,21,21
BACONSREBELLION_20050125.1108-E3-55,BACONSREBELLION_20050125.1108,ORG,"Greg Werkheiser's campaign",20,8,8
BACONSREBELLION_20050125.1108-E3-60,BACONSREBELLION_20050125.1108,ORG,we,19,2,2
BACONSREBELLION_20050125.1108-E4-7,BACONSREBELLION_20050125.1108,LOC,NOVA,11,23,23
BACONSREBELLION_20050125.1108-E4-73,BACONSREBELLION_20050125.1108,LOC,"Northern Virginia",6,15,15
BACONSREBELLION_20050125.1108-E5-9,BACONSREBELLION_20050125.1108,PER,OPPONENT,12,6,6
BACONSREBELLION_20050125.1108-E5-19,BACONSREBELLION_20050125.1108,PER,"his incumbent opponent",12,39,39
BACONSREBELLION_20050125.1108-E5-20,BACONSREBELLION_20050125.1108,PER,"David Albo",12,41,42
BACONSREBELLION_20050125.1108-E5-26,BACONSREBELLION_20050125.1108,PER,"his opponent",13,5,5
BACONSREBELLION_20050125.1108-E5-28,BACONSREBELLION_20050125.1108,PER,Albo,13,16,16
BACONSREBELLION_20050125.1108-E5-32,BACONSREBELLION_20050125.1108,PER,"his
opponent",14,13,13
BACONSREBELLION_20050125.1108-E5-33,BACONSREBELLION_20050125.1108,PER,Albo,14,19,19
BACONSREBELLION_20050125.1108-E5-36,BACONSREBELLION_20050125.1108,PER,Albo,14,30,30
BACONSREBELLION_20050125.1108-E5-67,BACONSREBELLION_20050125.1108,PER,ALBO,20,56,56
BACONSREBELLION_20050125.1108-E5-75,BACONSREBELLION_20050125.1108,PER,himself,20,85,85
BACONSREBELLION_20050125.1108-E6-10,BACONSREBELLION_20050125.1108,PER,CHALLENGERS,12,9,9
BACONSREBELLION_20050125.1108-E6-21,BACONSREBELLION_20050125.1108,PER,"all
challengers statewide",12,47,47
BACONSREBELLION_20050125.1108-E6-39,BACONSREBELLION_20050125.1108,PER,"all challengers statewide",15,4,4
BACONSREBELLION_20050125.1108-E8-14,BACONSREBELLION_20050125.1108,ORG,"the House of Delegates",12,17,19
BACONSREBELLION_20050125.1108-E9-15,BACONSREBELLION_20050125.1108,GPE,"the 42nd
District in southern Fairfax County",12,22,23
BACONSREBELLION_20050125.1108-E9-40,BACONSREBELLION_20050125.1108,GPE,"The 42nd House of Delegates District",16,6,6
BACONSREBELLION_20050125.1108-E9-48,BACONSREBELLION_20050125.1108,GPE,"the district",17,21,21
BACONSREBELLION_20050125.1108-E9-57,BACONSREBELLION_20050125.1108,GPE,"the 42nd District",18,14,15
BACONSREBELLION_20050125.1108-E9-62,BACONSREBELLION_20050125.1108,GPE,our,19,32,32
BACONSREBELLION_20050125.1108-E9-68,BACONSREBELLION_20050125.1108,GPE,"the district",17,7,7
BACONSREBELLION_20050125.1108-E9-69,BACONSREBELLION_20050125.1108,GPE,"our communities in Fairfax County",19,33,33
BACONSREBELLION_20050125.1108-E9-72,BACONSREBELLION_20050125.1108,GPE,"a better place to live, work and
raise a family",19,39,39
BACONSREBELLION_20050125.1108-E10-18,BACONSREBELLION_20050125.1108,PER,"Will Vehrs",1,1,2
BACONSREBELLION_20050125.1108-E12-22,BACONSREBELLION_20050125.1108,ORG,"the State Board of Elections",12,58,61
BACONSREBELLION_20050125.1108-E13-35,BACONSREBELLION_20050125.1108,PER,"200 individuals",14,28,28
BACONSREBELLION_20050125.1108-E14-37,BACONSREBELLION_20050125.1108,PER,"8
individual contributors",14,34,34
BACONSREBELLION_20050125.1108-E15-41,BACONSREBELLION_20050125.1108,LOC,"the southern tip of
Fairfax County",16,10,10
BACONSREBELLION_20050125.1108-E16-42,BACONSREBELLION_20050125.1108,GPE,"Fairfax County",16,12,13
BACONSREBELLION_20050125.1108-E16-65,BACONSREBELLION_20050125.1108,GPE,"Fairfax County",19,35,36
BACONSREBELLION_20050125.1108-E17-43,BACONSREBELLION_20050125.1108,PER,"Nearly fifty-two percent of the district",17,4,4
BACONSREBELLION_20050125.1108-E18-63,BACONSREBELLION_20050125.1108,PER,"E M Risse",3,1,3
BACONSREBELLION_20050125.1108-E19-1,BACONSREBELLION_20050125.1108,PER,Jim,1,7,7
BACONSREBELLION_20050125.1108-E19-70,BACONSREBELLION_20050125.1108,PER,you,1,9,9
BACONSREBELLION_20050125.1108-E19-74,BACONSREBELLION_20050125.1108,PER,"not the only one mining the data on political
contributions",1,14,14
BACONSREBELLION_20050125.1108-E19-84,BACONSREBELLION_20050125.1108,PER,Jim,6,3,3
BACONSREBELLION_20050125.1108-E20-45,BACONSREBELLION_20050125.1108,PER,"John
Kerry",17,10,11
BACONSREBELLION_20050125.1108-E21-46,BACONSREBELLION_20050125.1108,PER,"Governor Mark Warner",17,17,18
BACONSREBELLION_20050125.1108-E21-47,BACONSREBELLION_20050125.1108,PER,Governor,17,16,16
BACONSREBELLION_20050125.1108-E23-23,BACONSREBELLION_20050125.1108,PER,"a family",19,47,47
BACONSREBELLION_20050125.1108-E24-56,BACONSREBELLION_20050125.1108,PER,"so many citizens in the 42nd District
who are voting with their pocketbooks for a change in leadership",18,11,11
BACONSREBELLION_20050125.1108-E24-58,BACONSREBELLION_20050125.1108,PER,who,18,16,16
BACONSREBELLION_20050125.1108-E24-59,BACONSREBELLION_20050125.1108,PER,their,18,20,20
BACONSREBELLION_20050125.1108-E25-61,BACONSREBELLION_20050125.1108,PER,"my neighbors",19,27,27
BACONSREBELLION_20050125.1108-E26-64,BACONSREBELLION_20050125.1108,LOC,"southern Fairfax County",12,26,27
BACONSREBELLION_20050125.1108-E27-71,BACONSREBELLION_20050125.1108,FAC,road,7,16,16
BACONSREBELLION_20050125.1108-E31-76,BACONSREBELLION_20050125.1108,ORG,"the blog sic semper tyrannis",2,5,7
BACONSREBELLION_20050125.1108-E31-77,BACONSREBELLION_20050125.1108,ORG,"the blog",2,4,4
BACONSREBELLION_20050125.1108-E33-78,BACONSREBELLION_20050125.1108,PER,Addison,2,10,10
BACONSREBELLION_20050125.1108-E34-79,BACONSREBELLION_20050125.1108,PER,"the top donors to Speaker Howell's PAC",2,19,19
BACONSREBELLION_20050125.1108-E35-80,BACONSREBELLION_20050125.1108,PER,"Speaker Howell",2,22,22
BACONSREBELLION_20050125.1108-E36-81,BACONSREBELLION_20050125.1108,ORG,"Speaker Howell's PAC",2,24,24
BACONSREBELLION_20050125.1108-E37-44,BACONSREBELLION_20050125.1108,PER,Paul,8,2,2
BACONSREBELLION_20050125.1108-E37-82,BACONSREBELLION_20050125.1108,PER,I,11,12,12
BACONSREBELLION_20050125.1108-E39-85,BACONSREBELLION_20050125.1108,PER,Will,6,5,5
BACONSREBELLION_20050125.1108-E40-2,BACONSREBELLION_20050125.1108,PER,he,7,13,13
BACONSREBELLION_20050125.1108-E40-86,BACONSREBELLION_20050125.1108,PER,Baril,6,20,20
BACONSREBELLION_20050125.1108-E40-89,BACONSREBELLION_20050125.1108,PER,his,7,6,6
BACONSREBELLION_20050125.1108-E42-4,BACONSREBELLION_20050125.1108,PER,"the ""Northern Virginia Supporters",6,16,16
BACONSREBELLION_20050125.1108-E42-6,BACONSREBELLION_20050125.1108,PER,their,7,15,15
BACONSREBELLION_20050125.1108-E42-87,BACONSREBELLION_20050125.1108,PER,"the folks who support his father-in-law on the
condition he support their road plans",7,3,3
BACONSREBELLION_20050125.1108-E42-88,BACONSREBELLION_20050125.1108,PER,who,7,4,4
BACONSREBELLION_20050125.1108-T9-1,BACONSREBELLION_20050125.1108,Time,2001,17,26,26
BACONSREBELLION_20050125.1108-V1-1,BACONSREBELLION_20050125.1108,Numeric,"$81,615",13,13,14
BACONSREBELLION_20050125.1108-V2-1,BACONSREBELLION_20050125.1108,Numeric,"$55,119",13,17,18
BACONSREBELLION_20050125.1108-V3-1,BACONSREBELLION_20050125.1108,Numeric,"$50,017",14,16,17
BACONSREBELLION_20050125.1108-V4-1,BACONSREBELLION_20050125.1108,Numeric,"$23,767",14,20,21
BACONSREBELLION_20050125.1108-V5-1,BACONSREBELLION_20050125.1108,Numeric,"Nearly fifty-two percent",17,1,4
BACONSREBELLION_20050125.1108-V6-1,BACONSREBELLION_20050125.1108,Contact-Info,www.werkheiserfordelegate.com,20,13,13
BACONSREBELLION_20050125.1108-V7-1,BACONSREBELLION_20050125.1108,Numeric,"$81,615.42",20,28,29
BACONSREBELLION_20050125.1108-V8-1,BACONSREBELLION_20050125.1108,Numeric,"$67,814.09",20,33,34
BACONSREBELLION_20050125.1108-V9-1,BACONSREBELLION_20050125.1108,Numeric,"$17,796.52",20,44,45
BACONSREBELLION_20050125.1108-V10-1,BACONSREBELLION_20050125.1108,Numeric,$0,20,48,49
BACONSREBELLION_20050125.1108-V11-1,BACONSREBELLION_20050125.1108,Numeric,"$50,017.57",20,54,55
BACONSREBELLION_20050125.1108-V12-1,BACONSREBELLION_20050125.1108,Numeric,"$55,119.75",20,61,62
BACONSREBELLION_20050125.1108-V13-1,BACONSREBELLION_20050125.1108,Numeric,"$55,119.75",20,66,67
BACONSREBELLION_20050125.1108-V14-1,BACONSREBELLION_20050125.1108,Numeric,$400.00,20,72,73
BACONSREBELLION_20050125.1108-V15-1,BACONSREBELLION_20050125.1108,Numeric,"$34,267.77",20,77,78
BACONSREBELLION_20050125.1108-V16-1,BACONSREBELLION_20050125.1108,Numeric,"$10,500",20,81,82
BACONSREBELLION_20050125.1108-V17-1,BACONSREBELLION_20050125.1108,Numeric,"$23,767.77",20,91,92
BACONSREBELLION_20050125.1108-V18-1,BACONSREBELLION_20050125.1108,Numeric,"$13,801.33",20,39,40
CNN_ENG_20030407_130604.10-E1-14,CNN_ENG_20030407_130604.10,GPE,"a new iraq",9,14,14
CNN_ENG_20030407_130604.10-E1-154,CNN_ENG_20030407_130604.10,GPE,"a postwar iraq",4,8,8
CNN_ENG_20030407_130604.10-E2-3,CNN_ENG_20030407_130604.10,GPE,israeli,5,15,15
CNN_ENG_20030407_130604.10-E3-4,CNN_ENG_20030407_130604.10,GPE,palestinian,5,15,15
CNN_ENG_20030407_130604.10-E4-8,CNN_ENG_20030407_130604.10,PER,"president bush",8,12,12
CNN_ENG_20030407_130604.10-E4-9,CNN_ENG_20030407_130604.10,PER,president,8,11,11
CNN_ENG_20030407_130604.10-E4-22,CNN_ENG_20030407_130604.10,PER,"the president",12,21,21
CNN_ENG_20030407_130604.10-E4-93,CNN_ENG_20030407_130604.10,PER,"president bush",26,25,25
CNN_ENG_20030407_130604.10-E4-94,CNN_ENG_20030407_130604.10,PER,president,26,24,24
CNN_ENG_20030407_130604.10-E4-148,CNN_ENG_20030407_130604.10,PER,"the president of the united states",3,2,2
CNN_ENG_20030407_130604.10-E5-10,CNN_ENG_20030407_130604.10,PER,"prime minister
blair",8,16,16
CNN_ENG_20030407_130604.10-E5-11,CNN_ENG_20030407_130604.10,PER,"prime minister",8,15,15
CNN_ENG_20030407_130604.10-E5-150,CNN_ENG_20030407_130604.10,PER,"the british prime minister tony
blair",3,19,20
CNN_ENG_20030407_130604.10-E5-151,CNN_ENG_20030407_130604.10,PER,"british prime minister",3,18,18
CNN_ENG_20030407_130604.10-E6-2,CNN_ENG_20030407_130604.10,PER,they,5,1,1
CNN_ENG_20030407_130604.10-E6-5,CNN_ENG_20030407_130604.10,PER,they,6,1,1
CNN_ENG_20030407_130604.10-E6-12,CNN_ENG_20030407_130604.10,PER,they,8,29,29
CNN_ENG_20030407_130604.10-E6-13,CNN_ENG_20030407_130604.10,PER,"close allies",9,5,5
CNN_ENG_20030407_130604.10-E6-15,CNN_ENG_20030407_130604.10,PER,their,10,7,7
CNN_ENG_20030407_130604.10-E6-18,CNN_ENG_20030407_130604.10,PER,they,11,1,1
CNN_ENG_20030407_130604.10-E6-34,CNN_ENG_20030407_130604.10,PER,"these two leaders",15,6,6
CNN_ENG_20030407_130604.10-E6-153,CNN_ENG_20030407_130604.10,PER,they,4,1,1
CNN_ENG_20030407_130604.10-E7-16,CNN_ENG_20030407_130604.10,ORG,"the united nations",10,15,16
CNN_ENG_20030407_130604.10-E8-17,CNN_ENG_20030407_130604.10,GPE,iraq,10,24,24
CNN_ENG_20030407_130604.10-E8-35,CNN_ENG_20030407_130604.10,GPE,iraq,15,17,17
CNN_ENG_20030407_130604.10-E8-133,CNN_ENG_20030407_130604.10,GPE,iraqi,35,8,8
CNN_ENG_20030407_130604.10-E9-19,CNN_ENG_20030407_130604.10,PER,you,12,1,1
CNN_ENG_20030407_130604.10-E10-21,CNN_ENG_20030407_130604.10,FAC,"the
tarmac",12,15,15
CNN_ENG_20030407_130604.10-E11-23,CNN_ENG_20030407_130604.10,PER,we,13,2,2
CNN_ENG_20030407_130604.10-E11-37,CNN_ENG_20030407_130604.10,PER,we,16,7,7
CNN_ENG_20030407_130604.10-E11-88,CNN_ENG_20030407_130604.10,PER,we,26,2,2
CNN_ENG_20030407_130604.10-E11-92,CNN_ENG_20030407_130604.10,PER,we,26,20,20
CNN_ENG_20030407_130604.10-E11-96,CNN_ENG_20030407_130604.10,PER,we,27,1,1
CNN_ENG_20030407_130604.10-E12-26,CNN_ENG_20030407_130604.10,PER,i,13,15,15
CNN_ENG_20030407_130604.10-E12-42,CNN_ENG_20030407_130604.10,PER,wolf,17,1,1
CNN_ENG_20030407_130604.10-E12-65,CNN_ENG_20030407_130604.10,PER,wolf,21,35,35
CNN_ENG_20030407_130604.10-E12-86,CNN_ENG_20030407_130604.10,PER,wolf,25,10,10
CNN_ENG_20030407_130604.10-E12-110,CNN_ENG_20030407_130604.10,PER,wolf,30,6,6
CNN_ENG_20030407_130604.10-E13-27,CNN_ENG_20030407_130604.10,PER,general,13,23,23
CNN_ENG_20030407_130604.10-E13-28,CNN_ENG_20030407_130604.10,PER,"our
military analyst",13,22,22
CNN_ENG_20030407_130604.10-E13-30,CNN_ENG_20030407_130604.10,PER,"general dan crisman",13,24,25
CNN_ENG_20030407_130604.10-E13-36,CNN_ENG_20030407_130604.10,PER,general,16,5,5
CNN_ENG_20030407_130604.10-E13-39,CNN_ENG_20030407_130604.10,PER,you,16,21,21
CNN_ENG_20030407_130604.10-E13-43,CNN_ENG_20030407_130604.10,PER,i,19,1,1
CNN_ENG_20030407_130604.10-E13-45,CNN_ENG_20030407_130604.10,PER,general,14,10,10
CNN_ENG_20030407_130604.10-E13-66,CNN_ENG_20030407_130604.10,PER,i,21,42,42
CNN_ENG_20030407_130604.10-E16-31,CNN_ENG_20030407_130604.10,ORG,our,13,20,20
CNN_ENG_20030407_130604.10-E16-100,CNN_ENG_20030407_130604.10,ORG,our,28,5,5
CNN_ENG_20030407_130604.10-E17-32,CNN_ENG_20030407_130604.10,GPE,baghdad,13,33,33
CNN_ENG_20030407_130604.10-E17-41,CNN_ENG_20030407_130604.10,GPE,baghdad,16,29,29
CNN_ENG_20030407_130604.10-E17-44,CNN_ENG_20030407_130604.10,GPE,baghdad,19,10,10
CNN_ENG_20030407_130604.10-E17-54,CNN_ENG_20030407_130604.10,GPE,baghdad,21,11,11
CNN_ENG_20030407_130604.10-E17-103,CNN_ENG_20030407_130604.10,GPE,"baghdad itself",28,24,24
CNN_ENG_20030407_130604.10-E17-104,CNN_ENG_20030407_130604.10,GPE,itself,28,25,25
CNN_ENG_20030407_130604.10-E17-115,CNN_ENG_20030407_130604.10,GPE,there,28,38,38
CNN_ENG_20030407_130604.10-E17-117,CNN_ENG_20030407_130604.10,GPE,baghdad,31,16,16
CNN_ENG_20030407_130604.10-E17-122,CNN_ENG_20030407_130604.10,GPE,here,21,33,33
CNN_ENG_20030407_130604.10-E17-123,CNN_ENG_20030407_130604.10,GPE,here,25,20,20
CNN_ENG_20030407_130604.10-E18-1,CNN_ENG_20030407_130604.10,VEH,"heirs force one",1,6,8
CNN_ENG_20030407_130604.10-E18-20,CNN_ENG_20030407_130604.10,VEH,"air force one",12,8,10
CNN_ENG_20030407_130604.10-E18-24,CNN_ENG_20030407_130604.10,VEH,"the air force one",13,8,10
CNN_ENG_20030407_130604.10-E18-38,CNN_ENG_20030407_130604.10,VEH,"air force one",16,14,16
CNN_ENG_20030407_130604.10-E18-89,CNN_ENG_20030407_130604.10,VEH,"air force one",26,6,8
CNN_ENG_20030407_130604.10-E18-95,CNN_ENG_20030407_130604.10,VEH,"the plane",26,29,29
CNN_ENG_20030407_130604.10-E19-40,CNN_ENG_20030407_130604.10,FAC,"the
streets of baghdad",16,27,27
CNN_ENG_20030407_130604.10-E20-46,CNN_ENG_20030407_130604.10,GPE,"basra
itself",19,12,12
CNN_ENG_20030407_130604.10-E20-47,CNN_ENG_20030407_130604.10,GPE,itself,19,13,13
CNN_ENG_20030407_130604.10-E20-58,CNN_ENG_20030407_130604.10,GPE,"basra itself",21,21,21
CNN_ENG_20030407_130604.10-E20-59,CNN_ENG_20030407_130604.10,GPE,itself,21,22,22
CNN_ENG_20030407_130604.10-E20-62,CNN_ENG_20030407_130604.10,GPE,there,21,27,27
CNN_ENG_20030407_130604.10-E20-64,CNN_ENG_20030407_130604.10,GPE,there,20,5,5
CNN_ENG_20030407_130604.10-E21-48,CNN_ENG_20030407_130604.10,PER,you,20,1,1
CNN_ENG_20030407_130604.10-E22-49,CNN_ENG_20030407_130604.10,PER,"coalition forces",20,4,4
CNN_ENG_20030407_130604.10-E23-50,CNN_ENG_20030407_130604.10,GPE,coalition,20,3,3
CNN_ENG_20030407_130604.10-E23-56,CNN_ENG_20030407_130604.10,GPE,coalition,21,13,13
CNN_ENG_20030407_130604.10-E24-51,CNN_ENG_20030407_130604.10,PER,"three ba talians of the u.s. 3rd division in baghdad",21,3,4
CNN_ENG_20030407_130604.10-E25-52,CNN_ENG_20030407_130604.10,ORG,"the u.s. 3rd division",21,8,9
CNN_ENG_20030407_130604.10-E26-53,CNN_ENG_20030407_130604.10,GPE,u.s,21,7,7
CNN_ENG_20030407_130604.10-E26-149,CNN_ENG_20030407_130604.10,GPE,"the united states",3,5,6
CNN_ENG_20030407_130604.10-E27-55,CNN_ENG_20030407_130604.10,PER,"three coalition
assets",21,14,14
CNN_ENG_20030407_130604.10-E27-82,CNN_ENG_20030407_130604.10,PER,"the three assets",24,24,24
CNN_ENG_20030407_130604.10-E27-83,CNN_ENG_20030407_130604.10,PER,they,24,28,28
CNN_ENG_20030407_130604.10-E29-57,CNN_ENG_20030407_130604.10,PER,"three huge battle groups in basra itself which the u.k. has
there",21,19,19
CNN_ENG_20030407_130604.10-E29-61,CNN_ENG_20030407_130604.10,PER,which,21,23,23
CNN_ENG_20030407_130604.10-E30-67,CNN_ENG_20030407_130604.10,PER,"the final
remnants of the regime leadership",21,54,54
CNN_ENG_20030407_130604.10-E30-71,CNN_ENG_20030407_130604.10,PER,they,21,64,64
CNN_ENG_20030407_130604.10-E30-73,CNN_ENG_20030407_130604.10,PER,they,22,2,2
CNN_ENG_20030407_130604.10-E30-78,CNN_ENG_20030407_130604.10,PER,"these key leaders",23,19,19
CNN_ENG_20030407_130604.10-E30-79,CNN_ENG_20030407_130604.10,PER,they,24,1,1
CNN_ENG_20030407_130604.10-E30-125,CNN_ENG_20030407_130604.10,PER,what,21,51,51
CNN_ENG_20030407_130604.10-E30-126,CNN_ENG_20030407_130604.10,PER,"final remnants of the
regime in those citys",24,36,36
