id,doc_id,subtype,stanford_sentence_id,stanford_token
rec.travel.europe_20050101.1800-EV5-2,rec.travel.europe_20050101.1800,Transport,45,15
rec.travel.europe_20050101.1800-EV5-3,rec.travel.europe_20050101.1800,Transport,1,33
rec.travel.europe_20050101.1800-EV6-1,rec.travel.europe_20050101.1800,Transport,3,2
rec.travel.europe_20050101.1800-EV7-1,rec.travel.europe_20050101.1800,Transport,6,5
rec.travel.europe_20050101.1800-EV8-1,rec.travel.europe_20050101.1800,Transport,20,20
rec.travel.europe_20050101.1800-EV9-1,rec.travel.europe_20050101.1800,Transport,21,23
rec.travel.europe_20050101.1800-EV10-1,rec.travel.europe_20050101.1800,Transport,25,8
rec.travel.europe_20050101.1800-EV11-1,rec.travel.europe_20050101.1800,Transport,25,1
rec.travel.europe_20050101.1800-EV12-1,rec.travel.europe_20050101.1800,Die,27,24
rec.travel.europe_20050101.1800-EV13-1,rec.travel.europe_20050101.1800,Transport,37,86
rec.travel.europe_20050101.1800-EV13-2,rec.travel.europe_20050101.1800,Transport,38,7
rec.travel.europe_20050101.1800-EV14-1,rec.travel.europe_20050101.1800,Transport,39,6
BACONSREBELLION_20050206.1345-EV1-1,BACONSREBELLION_20050206.1345,End-Position,1,7
APW_ENG_20030619.0383-EV1-1,APW_ENG_20030619.0383,Transport,4,3
APW_ENG_20030619.0383-EV2-1,APW_ENG_20030619.0383,Charge-Indict,8,14
APW_ENG_20030619.0383-EV3-1,APW_ENG_20030619.0383,Transport,5,11
APW_ENG_20030619.0383-EV4-1,APW_ENG_20030619.0383,Trial-Hearing,8,11
APW_ENG_20030619.0383-EV5-1,APW_ENG_20030619.0383,Trial-Hearing,9,4
APW_ENG_20030619.0383-EV6-1,APW_ENG_20030619.0383,Charge-Indict,9,9
APW_ENG_20030619.0383-EV7-1,APW_ENG_20030619.0383,Arrest-Jail,10,14
APW_ENG_20030619.0383-EV8-1,APW_ENG_20030619.0383,Trial-Hearing,11,4
APW_ENG_20030619.0383-EV9-1,APW_ENG_20030619.0383,Sentence,10,17
APW_ENG_20030619.0383-EV10-1,APW_ENG_20030619.0383,Die,10,33
APW_ENG_20030619.0383-EV11-1,APW_ENG_20030619.0383,Trial-Hearing,3,8
APW_ENG_20030619.0383-EV12-1,APW_ENG_20030619.0383,Transport,9,11
APW_ENG_20030619.0383-EV12-2,APW_ENG_20030619.0383,Transport,3,10
AGGRESSIVEVOICEDAILY_20050116.2149-EV1-1,AGGRESSIVEVOICEDAILY_20050116.2149,Transfer-Ownership,2,14
AGGRESSIVEVOICEDAILY_20050224.1207-EV1-1,AGGRESSIVEVOICEDAILY_20050224.1207,Attack,1,22
AGGRESSIVEVOICEDAILY_20050224.1207-EV1-2,AGGRESSIVEVOICEDAILY_20050224.1207,Attack,2,10
AGGRESSIVEVOICEDAILY_20050224.1207-EV2-1,AGGRESSIVEVOICEDAILY_20050224.1207,Attack,2,19
AGGRESSIVEVOICEDAILY_20050224.1207-EV2-2,AGGRESSIVEVOICEDAILY_20050224.1207,Attack,5,16
AGGRESSIVEVOICEDAILY_20050224.1207-EV2-3,AGGRESSIVEVOICEDAILY_20050224.1207,Attack,6,10
AGGRESSIVEVOICEDAILY_20050224.1207-EV2-4,AGGRESSIVEVOICEDAILY_20050224.1207,Attack,7,13
AGGRESSIVEVOICEDAILY_20050224.1207-EV3-1,AGGRESSIVEVOICEDAILY_20050224.1207,Die,4,14
AGGRESSIVEVOICEDAILY_20050224.1207-EV4-1,AGGRESSIVEVOICEDAILY_20050224.1207,Injure,4,18
AGGRESSIVEVOICEDAILY_20050224.1207-EV5-1,AGGRESSIVEVOICEDAILY_20050224.1207,Attack,4,23
AGGRESSIVEVOICEDAILY_20050224.1207-EV6-1,AGGRESSIVEVOICEDAILY_20050224.1207,Die,5,4
AGGRESSIVEVOICEDAILY_20050224.1207-EV6-2,AGGRESSIVEVOICEDAILY_20050224.1207,Die,5,37
AGGRESSIVEVOICEDAILY_20050224.1207-EV6-3,AGGRESSIVEVOICEDAILY_20050224.1207,Die,14,20
AGGRESSIVEVOICEDAILY_20050224.1207-EV7-1,AGGRESSIVEVOICEDAILY_20050224.1207,Phone-Write,9,18
AGGRESSIVEVOICEDAILY_20050224.1207-EV8-1,AGGRESSIVEVOICEDAILY_20050224.1207,Die,2,12
CNN_IP_20030329.1600.00-3-EV1-1,CNN_IP_20030329.1600.00-3,Attack,5,15
CNN_IP_20030329.1600.00-3-EV2-1,CNN_IP_20030329.1600.00-3,Attack,6,7
CNN_IP_20030329.1600.00-3-EV2-2,CNN_IP_20030329.1600.00-3,Attack,7,4
CNN_IP_20030329.1600.00-3-EV3-1,CNN_IP_20030329.1600.00-3,Attack,7,8
CNN_IP_20030329.1600.00-3-EV4-1,CNN_IP_20030329.1600.00-3,Attack,19,16
CNN_IP_20030329.1600.00-3-EV5-1,CNN_IP_20030329.1600.00-3,Injure,20,28
CNN_IP_20030329.1600.00-3-EV6-1,CNN_IP_20030329.1600.00-3,Attack,31,7
CNN_IP_20030329.1600.00-3-EV7-1,CNN_IP_20030329.1600.00-3,Transfer-Ownership,19,23
Integritas-Group-Community-Forum_20050110.0557-EV1-1,Integritas-Group-Community-Forum_20050110.0557,Transfer-Ownership,4,24
Integritas-Group-Community-Forum_20050110.0557-EV2-1,Integritas-Group-Community-Forum_20050110.0557,Start-Org,6,17
MARKETVIEW_20041212.1447-EV1-1,MARKETVIEW_20041212.1447,Transfer-Ownership,5,9
AGGRESSIVEVOICEDAILY_20050205.1954-EV1-1,AGGRESSIVEVOICEDAILY_20050205.1954,Transfer-Money,2,10
AGGRESSIVEVOICEDAILY_20050205.1954-EV1-2,AGGRESSIVEVOICEDAILY_20050205.1954,Transfer-Money,3,6
AGGRESSIVEVOICEDAILY_20050205.1954-EV1-3,AGGRESSIVEVOICEDAILY_20050205.1954,Transfer-Money,4,14
AGGRESSIVEVOICEDAILY_20050205.1954-EV2-1,AGGRESSIVEVOICEDAILY_20050205.1954,Sue,3,25
AGGRESSIVEVOICEDAILY_20050205.1954-EV3-1,AGGRESSIVEVOICEDAILY_20050205.1954,Transport,3,50
AGGRESSIVEVOICEDAILY_20050205.1954-EV4-1,AGGRESSIVEVOICEDAILY_20050205.1954,Transport,6,22
MARKBACKER_20050103.0829-EV1-1,MARKBACKER_20050103.0829,Phone-Write,23,4
MARKBACKER_20050103.0829-EV2-1,MARKBACKER_20050103.0829,Transport,10,29
MARKBACKER_20050103.0829-EV3-1,MARKBACKER_20050103.0829,Transport,21,20
MARKBACKER_20041206.0733-EV1-1,MARKBACKER_20041206.0733,End-Position,4,22
MARKBACKER_20041206.0733-EV2-1,MARKBACKER_20041206.0733,Attack,14,5
MARKBACKER_20041206.0733-EV3-1,MARKBACKER_20041206.0733,Attack,14,11
MARKBACKER_20041206.0733-EV4-1,MARKBACKER_20041206.0733,Attack,14,21
CNN_IP_20030410.1600.03-1-EV1-1,CNN_IP_20030410.1600.03-1,Attack,1,20
CNN_IP_20030410.1600.03-1-EV2-1,CNN_IP_20030410.1600.03-1,Attack,8,17
CNN_IP_20030410.1600.03-1-EV3-1,CNN_IP_20030410.1600.03-1,Transport,28,6
CNN_IP_20030410.1600.03-1-EV4-1,CNN_IP_20030410.1600.03-1,Attack,28,13
CNN_IP_20030410.1600.03-1-EV5-1,CNN_IP_20030410.1600.03-1,Die,1,19
APW_ENG_20030510.0228-EV1-1,APW_ENG_20030510.0228,Convict,1,14
APW_ENG_20030510.0228-EV1-2,APW_ENG_20030510.0228,Convict,8,3
APW_ENG_20030510.0228-EV2-1,APW_ENG_20030510.0228,Fine,2,14
APW_ENG_20030510.0228-EV2-2,APW_ENG_20030510.0228,Fine,5,8
APW_ENG_20030510.0228-EV2-3,APW_ENG_20030510.0228,Fine,3,5
APW_ENG_20030510.0228-EV3-1,APW_ENG_20030510.0228,Attack,4,39
APW_ENG_20030510.0228-EV4-1,APW_ENG_20030510.0228,Sentence,4,2
APW_ENG_20030510.0228-EV4-2,APW_ENG_20030510.0228,Sentence,6,9
APW_ENG_20030510.0228-EV5-1,APW_ENG_20030510.0228,Charge-Indict,9,2
APW_ENG_20030510.0228-EV6-1,APW_ENG_20030510.0228,Arrest-Jail,11,7
APW_ENG_20030510.0228-EV7-1,APW_ENG_20030510.0228,Release-Parole,12,3
APW_ENG_20030510.0228-EV8-1,APW_ENG_20030510.0228,Charge-Indict,12,7
APW_ENG_20030510.0228-EV9-1,APW_ENG_20030510.0228,Fine,14,32
APW_ENG_20030510.0228-EV10-1,APW_ENG_20030510.0228,Convict,14,49
APW_ENG_20030510.0228-EV10-2,APW_ENG_20030510.0228,Convict,16,10
APW_ENG_20030510.0228-EV11-1,APW_ENG_20030510.0228,Trial-Hearing,16,5
APW_ENG_20030510.0228-EV12-1,APW_ENG_20030510.0228,Transport,16,28
APW_ENG_20030510.0228-EV13-1,APW_ENG_20030510.0228,Appeal,5,13
APW_ENG_20030510.0228-EV14-1,APW_ENG_20030510.0228,Transport,14,11
APW_ENG_20030417.0555-EV1-1,APW_ENG_20030417.0555,Demonstrate,2,10
APW_ENG_20030417.0555-EV2-1,APW_ENG_20030417.0555,Arrest-Jail,1,3
APW_ENG_20030417.0555-EV3-1,APW_ENG_20030417.0555,Attack,5,3
APW_ENG_20030417.0555-EV3-2,APW_ENG_20030417.0555,Attack,11,17
APW_ENG_20030417.0555-EV4-1,APW_ENG_20030417.0555,Transport,5,11
APW_ENG_20030417.0555-EV5-1,APW_ENG_20030417.0555,Die,15,24
APW_ENG_20030417.0555-EV6-1,APW_ENG_20030417.0555,Die,32,12
APW_ENG_20030417.0555-EV7-1,APW_ENG_20030417.0555,Attack,32,16
APW_ENG_20030417.0555-EV8-1,APW_ENG_20030417.0555,Attack,33,20
APW_ENG_20030417.0555-EV8-2,APW_ENG_20030417.0555,Attack,34,2
APW_ENG_20030417.0555-EV9-1,APW_ENG_20030417.0555,Meet,38,13
APW_ENG_20030417.0555-EV9-2,APW_ENG_20030417.0555,Meet,39,7
APW_ENG_20030417.0555-EV10-1,APW_ENG_20030417.0555,Meet,8,18
APW_ENG_20030417.0555-EV11-1,APW_ENG_20030417.0555,Start-Position,13,16
APW_ENG_20030417.0555-EV12-1,APW_ENG_20030417.0555,Start-Position,14,2
APW_ENG_20030417.0555-EV13-1,APW_ENG_20030417.0555,Demonstrate,24,8
APW_ENG_20030417.0555-EV13-2,APW_ENG_20030417.0555,Demonstrate,23,24
APW_ENG_20030417.0555-EV14-1,APW_ENG_20030417.0555,Arrest-Jail,24,21
APW_ENG_20030417.0555-EV15-1,APW_ENG_20030417.0555,Transport,26,16
APW_ENG_20030417.0555-EV16-1,APW_ENG_20030417.0555,End-Org,29,10
APW_ENG_20030417.0555-EV17-1,APW_ENG_20030417.0555,Start-Position,15,9
MARKETVIEW_20050216.2120-EV1-1,MARKETVIEW_20050216.2120,Charge-Indict,1,13
MARKETVIEW_20050216.2120-EV2-1,MARKETVIEW_20050216.2120,Transfer-Money,4,30
BACONSREBELLION_20050204.1326-EV1-1,BACONSREBELLION_20050204.1326,Transfer-Money,1,20
BACONSREBELLION_20050204.1326-EV1-2,BACONSREBELLION_20050204.1326,Transfer-Money,2,2
BACONSREBELLION_20050204.1326-EV1-3,BACONSREBELLION_20050204.1326,Transfer-Money,14,13
fsh_29105-EV1-1,fsh_29105,Elect,2,2
fsh_29105-EV2-1,fsh_29105,Elect,9,26
fsh_29105-EV3-1,fsh_29105,Elect,43,8
fsh_29105-EV3-2,fsh_29105,Elect,47,8
fsh_29105-EV4-1,fsh_29105,End-Position,61,48
fsh_29105-EV5-1,fsh_29105,Meet,68,15
fsh_29105-EV6-1,fsh_29105,Transport,37,13
fsh_29105-EV7-1,fsh_29105,Elect,2,8
rec.music.phish_20050217.1804-EV1-1,rec.music.phish_20050217.1804,Attack,40,21
rec.music.phish_20050217.1804-EV2-1,rec.music.phish_20050217.1804,Elect,40,52
rec.music.phish_20050217.1804-EV3-1,rec.music.phish_20050217.1804,Attack,1,24
rec.music.phish_20050217.1804-EV4-1,rec.music.phish_20050217.1804,Attack,1,7
rec.music.phish_20050217.1804-EV4-2,rec.music.phish_20050217.1804,Attack,2,11
rec.music.phish_20050217.1804-EV4-3,rec.music.phish_20050217.1804,Attack,7,14
rec.music.phish_20050217.1804-EV4-4,rec.music.phish_20050217.1804,Attack,12,13
rec.music.phish_20050217.1804-EV4-5,rec.music.phish_20050217.1804,Attack,16,11
rec.music.phish_20050217.1804-EV4-6,rec.music.phish_20050217.1804,Attack,27,16
rec.music.phish_20050217.1804-EV4-7,rec.music.phish_20050217.1804,Attack,29,11
rec.music.phish_20050217.1804-EV4-8,rec.music.phish_20050217.1804,Attack,37,13
rec.music.phish_20050217.1804-EV4-9,rec.music.phish_20050217.1804,Attack,1,32
rec.music.phish_20050217.1804-EV5-1,rec.music.phish_20050217.1804,Attack,5,51
rec.music.phish_20050217.1804-EV6-1,rec.music.phish_20050217.1804,Attack,5,53
rec.music.phish_20050217.1804-EV7-1,rec.music.phish_20050217.1804,Attack,11,14
rec.music.phish_20050217.1804-EV8-1,rec.music.phish_20050217.1804,Attack,21,18
rec.music.phish_20050217.1804-EV9-1,rec.music.phish_20050217.1804,Attack,43,13
CNN_ENG_20030624_153103.16-EV1-1,CNN_ENG_20030624_153103.16,Transport,1,16
CNN_ENG_20030624_153103.16-EV2-1,CNN_ENG_20030624_153103.16,Transport,4,4
CNN_ENG_20030624_153103.16-EV3-1,CNN_ENG_20030624_153103.16,Transport,5,5
CNN_ENG_20030624_153103.16-EV4-1,CNN_ENG_20030624_153103.16,Transport,12,9
AFP_ENG_20030330.0211-EV1-1,AFP_ENG_20030330.0211,Attack,1,31
AFP_ENG_20030330.0211-EV1-2,AFP_ENG_20030330.0211,Attack,6,20
AFP_ENG_20030330.0211-EV1-3,AFP_ENG_20030330.0211,Attack,2,7
AFP_ENG_20030330.0211-EV1-4,AFP_ENG_20030330.0211,Attack,3,18
AFP_ENG_20030330.0211-EV1-5,AFP_ENG_20030330.0211,Attack,7,45
AFP_ENG_20030330.0211-EV2-1,AFP_ENG_20030330.0211,Demonstrate,1,24
AFP_ENG_20030330.0211-EV2-2,AFP_ENG_20030330.0211,Demonstrate,5,2
AFP_ENG_20030330.0211-EV3-1,AFP_ENG_20030330.0211,Demonstrate,5,7
rec.travel.cruises_20050216.1636-EV1-1,rec.travel.cruises_20050216.1636,Transport,4,1
rec.travel.cruises_20050216.1636-EV2-1,rec.travel.cruises_20050216.1636,Phone-Write,6,8
rec.travel.cruises_20050216.1636-EV3-1,rec.travel.cruises_20050216.1636,Phone-Write,19,40
rec.travel.cruises_20050216.1636-EV4-1,rec.travel.cruises_20050216.1636,Marry,23,5
rec.travel.cruises_20050216.1636-EV5-1,rec.travel.cruises_20050216.1636,Phone-Write,24,1
rec.travel.cruises_20050216.1636-EV6-1,rec.travel.cruises_20050216.1636,Marry,2,17
rec.travel.cruises_20050216.1636-EV7-1,rec.travel.cruises_20050216.1636,Marry,8,7
rec.travel.cruises_20050216.1636-EV7-2,rec.travel.cruises_20050216.1636,Marry,7,2
rec.travel.cruises_20050216.1636-EV7-3,rec.travel.cruises_20050216.1636,Marry,5,26
rec.travel.cruises_20050216.1636-EV7-4,rec.travel.cruises_20050216.1636,Marry,18,13
rec.travel.cruises_20050216.1636-EV8-1,rec.travel.cruises_20050216.1636,Marry,12,17
rec.travel.cruises_20050216.1636-EV8-2,rec.travel.cruises_20050216.1636,Marry,13,20
rec.travel.cruises_20050216.1636-EV8-3,rec.travel.cruises_20050216.1636,Marry,16,19
rec.travel.cruises_20050216.1636-EV9-1,rec.travel.cruises_20050216.1636,Marry,1,9
rec.travel.cruises_20050216.1636-EV9-2,rec.travel.cruises_20050216.1636,Marry,5,13
rec.travel.cruises_20050216.1636-EV9-3,rec.travel.cruises_20050216.1636,Marry,11,15
rec.travel.cruises_20050216.1636-EV9-4,rec.travel.cruises_20050216.1636,Marry,19,15
rec.travel.cruises_20050216.1636-EV9-5,rec.travel.cruises_20050216.1636,Marry,17,5
APW_ENG_20030520.0081-EV1-1,APW_ENG_20030520.0081,Attack,1,2
APW_ENG_20030520.0081-EV1-2,APW_ENG_20030520.0081,Attack,2,8
APW_ENG_20030520.0081-EV1-3,APW_ENG_20030520.0081,Attack,3,2
APW_ENG_20030520.0081-EV1-4,APW_ENG_20030520.0081,Attack,6,23
APW_ENG_20030520.0081-EV1-5,APW_ENG_20030520.0081,Attack,10,2
APW_ENG_20030520.0081-EV1-6,APW_ENG_20030520.0081,Attack,9,17
APW_ENG_20030520.0081-EV2-1,APW_ENG_20030520.0081,Die,1,14
APW_ENG_20030520.0081-EV3-1,APW_ENG_20030520.0081,Injure,1,18
APW_ENG_20030520.0081-EV3-2,APW_ENG_20030520.0081,Injure,8,10
APW_ENG_20030520.0081-EV4-1,APW_ENG_20030520.0081,Die,5,11
APW_ENG_20030520.0081-EV5-1,APW_ENG_20030520.0081,Die,5,16
APW_ENG_20030520.0081-EV6-1,APW_ENG_20030520.0081,Attack,10,9
APW_ENG_20030520.0081-EV7-1,APW_ENG_20030520.0081,Attack,11,17
